Timestamp,U_L1_Avg,U_L1_Min,U_L1_Max,I_L1,PF_L1,U_L2_Avg,U_L2_Min,U_L2_Max,I_L2,PF_L2,U_L3_Avg,U_L3_Min,U_L3_Max,I_L3,PF_L3,P_Netz_Gesamt,P_Haus,PV_Watt,Batt_Watt,SOC
2026-01-27 20:44:49,212.03,211.37,212.76,0.74,0.561,221.36,219.64,222.21,0.39,0.011,229.97,229.15,230.67,2.36,0.867,565.11,605.11,0.0,0.0,10
2026-01-27 20:46:49,211.56,210.78,211.95,0.65,0.341,224.38,221.69,226.36,0.41,0.036,228.31,227.07,229.6,1.9,0.817,424.98,464.98,0.0,0.0,10
2026-01-27 20:48:50,211.07,210.54,211.58,0.65,0.321,225.69,225.08,226.61,0.42,0.082,227.61,226.64,228.67,2.38,0.884,526.52,556.52,0.0,0.0,10
2026-01-27 20:50:49,212.88,210.98,213.72,0.68,0.332,224.63,223.66,225.68,0.43,0.281,227.34,226.12,227.78,2.3,0.859,514.92,534.92,0.0,0.0,10
2026-01-27 20:52:50,214.68,212.83,215.57,0.89,0.611,224.46,223.12,224.93,0.43,0.307,226.98,226.16,228.3,2.03,0.818,523.51,553.51,0.0,0.0,10
2026-01-27 20:54:50,214.36,212.4,215.65,0.89,0.605,225.46,223.2,226.94,0.44,0.314,226.52,226.12,227.06,2.52,0.9,663.4,703.4,0.0,0.0,10
2026-01-27 20:56:50,217.77,214.67,219.6,0.81,0.455,224.11,222.59,226.01,0.41,0.329,226.29,225.6,226.83,2.28,0.844,546.39,586.39,0.0,0.0,10
2026-01-27 20:58:50,218.48,217.35,220.0,0.81,0.446,222.49,221.57,223.02,0.4,0.315,226.95,225.02,228.03,3.43,0.926,832.77,872.77,0.0,0.0,10
2026-01-27 21:00:50,218.7,217.32,219.63,0.79,0.448,223.25,221.76,224.76,0.41,0.299,227.74,226.24,228.46,2.73,0.858,663.23,693.23,0.0,0.0,10
2026-01-27 21:02:50,217.81,217.2,218.44,0.77,0.444,224.49,223.72,225.01,0.41,0.309,227.77,227.18,228.58,3.29,0.914,781.57,821.57,0.0,0.0,10
2026-01-27 21:04:50,218.22,217.76,218.55,0.78,0.439,224.46,223.73,225.59,0.42,0.31,227.83,227.16,228.15,3.25,0.914,808.68,838.68,0.0,0.0,10
2026-01-27 21:06:50,218.01,216.89,218.58,0.85,0.519,225.26,224.39,228.2,0.42,0.315,227.34,226.21,228.12,3.54,0.924,874.84,914.84,0.0,0.0,10
2026-01-27 21:08:50,216.29,215.01,217.85,0.82,0.478,227.59,226.2,228.16,0.45,0.313,226.96,226.14,227.21,3.16,0.909,766.94,796.94,0.0,0.0,10
2026-01-27 21:10:50,215.32,214.42,215.94,0.82,0.489,227.44,227.19,227.68,0.45,0.287,228.19,226.71,229.16,3.55,0.93,880.24,920.24,0.0,0.0,10
2026-01-27 21:12:50,214.95,213.52,217.07,0.97,0.738,227.66,226.7,228.82,0.44,0.274,228.61,228.06,229.14,3.11,0.909,817.0,837.0,0.0,0.0,10
2026-01-27 21:14:50,213.42,212.82,213.75,0.95,0.741,225.41,222.78,228.83,0.43,0.249,229.31,227.8,230.63,2.49,0.875,677.45,717.45,0.0,0.0,10
2026-01-27 21:16:50,213.84,213.37,215.24,0.97,0.762,222.26,221.42,223.13,0.4,0.201,230.64,230.07,231.02,2.52,0.889,657.95,687.95,0.0,0.0,10
2026-01-27 21:18:50,214.67,213.45,216.41,1.01,0.794,221.91,221.3,222.79,0.38,0.02,231.22,230.4,231.63,1.78,0.781,505.38,545.38,0.0,0.0,10
2026-01-27 21:20:50,216.08,215.42,218.0,0.91,0.723,222.66,221.97,223.19,0.4,0.148,231.41,230.85,231.92,1.87,0.82,506.69,536.69,0.0,0.0,10
2026-01-27 21:22:50,214.43,213.84,215.59,0.88,0.723,224.84,222.87,225.52,0.41,0.009,231.21,230.41,231.97,1.54,0.766,411.73,441.73,0.0,0.0,10
2026-01-27 21:24:51,213.7,212.78,216.05,0.87,0.72,226.32,224.75,227.79,0.42,0.015,230.25,228.51,231.06,1.44,0.791,392.45,432.45,0.0,0.0,10
2026-01-27 21:26:51,213.03,212.27,213.66,0.86,0.718,226.75,225.95,227.32,0.42,0.021,230.38,229.66,230.98,1.42,0.79,387.62,427.62,0.0,0.0,10
2026-01-27 21:28:51,212.63,211.1,214.0,0.85,0.712,226.69,225.9,227.35,0.43,0.025,230.29,229.96,230.92,1.42,0.791,386.61,426.61,0.0,0.0,10
2026-01-27 21:30:51,212.63,211.7,214.48,0.75,0.609,226.19,224.66,227.14,0.43,0.023,230.75,230.06,231.14,1.42,0.792,342.58,362.58,0.0,0.0,10
2026-01-27 21:32:51,213.5,212.75,214.78,0.73,0.447,225.43,224.07,227.12,0.43,0.01,231.24,230.55,231.79,1.42,0.782,325.97,355.97,0.0,0.0,10
2026-01-27 21:34:51,212.92,211.39,213.3,0.69,0.373,226.62,224.97,227.49,0.44,0.014,230.9,230.42,231.47,1.42,0.785,311.69,341.69,0.0,0.0,10
2026-01-27 21:36:51,211.61,211.1,213.25,0.68,0.362,226.51,224.87,227.32,0.44,0.01,231.14,230.81,231.64,1.42,0.789,309.78,339.78,0.0,0.0,10
2026-01-27 21:38:51,211.84,210.69,212.77,0.67,0.366,226.56,225.95,227.3,0.44,0.042,231.44,231.15,231.73,1.42,0.789,309.44,349.44,0.0,0.0,10
2026-01-27 21:40:51,213.37,210.76,216.28,0.68,0.378,226.18,225.24,227.81,0.42,0.021,231.19,230.88,231.98,1.41,0.775,307.32,327.32,0.0,0.0,10
2026-01-27 21:42:51,215.21,212.46,216.9,0.71,0.389,225.1,223.55,227.14,0.41,0.008,231.45,230.87,232.15,1.41,0.768,308.58,338.58,0.0,0.0,10
2026-01-27 21:44:51,216.9,214.44,218.61,0.74,0.41,222.82,221.43,224.12,0.38,0.009,231.36,230.94,231.84,1.68,0.796,391.21,421.21,0.0,0.0,10
2026-01-27 21:46:51,216.29,214.61,216.8,0.73,0.378,225.56,222.94,227.02,0.4,0.034,230.17,229.2,231.51,1.39,0.769,306.0,346.0,0.0,0.0,10
2026-01-27 21:48:51,217.03,216.5,217.78,0.74,0.363,226.61,225.77,228.62,0.4,0.067,229.39,228.82,229.73,1.39,0.777,304.27,354.27,0.0,0.0,10
2026-01-27 21:50:51,216.44,215.69,217.19,0.74,0.369,226.04,225.16,226.68,0.41,0.068,229.0,227.61,229.37,1.38,0.774,302.57,322.57,0.0,0.0,10
2026-01-27 21:52:51,216.62,215.65,217.29,0.75,0.369,225.51,224.98,225.91,0.4,0.069,228.93,228.51,229.21,1.66,0.862,425.59,455.59,0.0,0.0,10
2026-01-27 21:54:51,216.24,215.31,217.47,0.75,0.347,225.55,224.6,226.25,0.41,0.056,229.64,228.59,230.4,1.38,0.77,298.94,328.94,0.0,0.0,10
2026-01-27 21:56:51,217.46,215.54,218.32,0.93,0.457,226.09,224.71,227.66,0.41,0.06,229.79,228.9,230.41,1.4,0.769,365.97,415.97,0.0,0.0,10
2026-01-27 21:58:51,218.04,217.14,218.57,0.98,0.678,225.14,224.32,226.58,0.4,0.066,229.71,229.21,230.05,1.91,0.861,541.17,571.17,0.0,0.0,10
2026-01-27 22:00:52,218.13,217.62,218.4,0.93,0.636,228.08,225.25,228.45,0.43,0.113,228.84,228.15,229.86,1.37,0.776,371.48,411.48,0.0,0.0,10
2026-01-27 22:02:52,219.17,217.98,219.69,0.95,0.627,227.79,226.71,228.76,0.43,0.153,227.12,226.04,228.86,1.35,0.78,367.76,407.76,0.0,0.0,10
2026-01-27 22:04:52,219.89,218.83,220.82,0.96,0.619,228.57,228.28,228.85,0.43,0.154,226.94,226.48,227.79,1.72,0.846,462.76,512.76,0.0,0.0,10
2026-01-27 22:06:52,220.38,219.66,220.68,0.97,0.611,228.59,228.19,228.94,0.43,0.143,227.41,227.07,227.8,1.47,0.792,394.06,434.06,0.0,0.0,10
2026-01-27 22:08:52,220.11,219.45,220.97,0.97,0.621,227.99,226.8,228.58,0.43,0.127,227.87,226.61,228.52,1.55,0.834,454.24,484.24,0.0,0.0,10
2026-01-27 22:10:52,219.27,217.74,219.99,0.94,0.63,227.85,227.12,229.26,0.42,0.112,228.31,226.83,228.95,1.54,0.791,412.01,442.01,0.0,0.0,10
2026-01-27 22:12:52,218.0,217.02,219.01,0.92,0.63,228.95,227.98,229.56,0.44,0.128,228.15,227.51,228.84,1.44,0.796,385.58,415.58,0.0,0.0,10
2026-01-27 22:14:52,218.85,217.97,221.17,0.86,0.524,228.79,227.91,229.21,0.43,0.121,228.78,227.36,229.06,1.4,0.789,352.61,392.61,0.0,0.0,10
